Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
526940,177890,Serious,Pedestrian,Male,14,15/01/2010,Friday,16,Kensington and Chelsea,Motorcycle over 125cc and up to 500cc,Not a pedestrian
527790,179400,Serious,Pedestrian,Female,46,13/01/2010,Wednesday,17,Kensington and Chelsea,Taxi/Private hire car,Crossing on ped. crossing facility
526070,178880,Serious,Driver or rider,Male,37,18/01/2010,Monday,7,Kensington and Chelsea,Motor cycle 125cc and under,"In carriageway, crossing elsewhere"
526070,178880,Serious,Pedestrian,Male,69,18/01/2010,Monday,7,Kensington and Chelsea,Motor cycle 125cc and under,Not a pedestrian
524130,181740,Serious,Pedestrian,Male,35,17/01/2010,Sunday,0,Kensington and Chelsea,Car,Not a pedestrian
525250,178440,Serious,Driver or rider,Male,32,12/01/2010,Tuesday,23,Kensington and Chelsea,Motorcycle over 500cc,Not a pedestrian
524620,179030,Serious,Pedestrian,Male,49,28/01/2010,Thursday,23,Kensington and Chelsea,Car,Not a pedestrian
527080,177550,Serious,Driver or rider,Male,35,29/01/2010,Friday,8,Kensington and Chelsea,Moped,Not a pedestrian
525520,180530,Serious,Passenger,Female,24,31/01/2010,Sunday,0,Kensington and Chelsea,Car,Not a pedestrian
526440,178490,Serious,Driver or rider,Male,39,07/03/2010,Sunday,20,Kensington and Chelsea,Motor cycle 125cc and under,Not a pedestrian
528540,177940,Serious,Driver or rider,Male,29,14/02/2010,Sunday,9,Kensington and Chelsea,Pedal cycle,Crossing elsewhere within 50m. of ped.crossing
527560,178300,Serious,Driver or rider,Male,33,10/03/2010,Wednesday,13,Kensington and Chelsea,Pedal cycle,"In carriageway, not crossing"
526160,177320,Serious,Driver or rider,Male,46,12/03/2010,Friday,9,Kensington and Chelsea,Pedal cycle,Crossing on ped. crossing facility
526890,179000,Serious,Driver or rider,Female,31,25/03/2010,Thursday,21,Kensington and Chelsea,Motor cycle 125cc and under,Not a pedestrian
526240,177350,Serious,Driver or rider,Female,22,26/03/2010,Friday,9,Kensington and Chelsea,Car,Not a pedestrian
526930,177480,Serious,Driver or rider,Male,43,22/03/2010,Monday,18,Kensington and Chelsea,Motor cycle 125cc and under,Not a pedestrian
527950,177770,Serious,Driver or rider,Male,unknown,21/04/2010,Wednesday,10,Kensington and Chelsea,Motor cycle 125cc and under,"In carriageway, not crossing"
525550,179200,Serious,Pedestrian,Female,35,04/05/2010,Tuesday,13,Kensington and Chelsea,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
